Unnamed: 0,situation,emotion
89,I was drivng home and this guy cut me off. I had to swerve in order to not hit him.,furious
90,"I was lost in a neighborhood I didn't know, when some guy came up to me and quietly asked if I needed a ride.",afraid
91,"I really want to win the lottery someday, maybe i will? ",hopeful
92,I will pass a examen next monday. I reviewed all the content for the course,prepared
93,I was given a large raise at work.,grateful
94,I've lost my job and am behind on my mortgage. It scares me that I could lose my home.,terrified
95,Today is my birthday and I am going to party this weekend!,excited
96,I lied to the people I work out with. I told them I was out of town but I relaly just did not want to work out.,ashamed
97,Someone offered me a job online to make a lot of money. ,apprehensive
98,i applied for 200+ jobs and still didn't hear from none of them!,surprised
99,I ate all my kids cookies and blamed it on the dog.,guilty
100,No one ever visits me anymore. I am always by myself in this apartment.,lonely
101,"not living near family, being in a new place. ",lonely
102,I saw a snake outside my apartment today,disgusted
103,I just found out they are not making a sequel to a movie I like.,sad
104,I was able to save a blind lady from falling down an escalator.,proud
105,"missing money from my paycheck, wrong hours and bonus again! ",furious
106,"I was mowing the lawn, and a rock flew and broke my neighbor's window.",ashamed
107,I used to think I had gotten to big to wear a swimsuit. I went to the beach last week and those ladies were really flaunting their stuff. I have a once piece now.,confident
108,A few years ago when my grandmother died unexpectedly.,sad
109,I feel bad that I work too much and dont see my daughter. ,guilty
110,My friend called someone a bad name.,disgusted
111,My fence is collapsing at areas where my neighbors keep climbing over to get their ball. It's going to be expensive to fix.,annoyed
112,I cant wait to relocate again. ,anxious
113,"My brother usually doesn't do anything for me unless asked. After 3 decades, he actually took me out for my birthday.",surprised
114,My texted me happy birthday yesterday. My birthday is today.,disappointed
115,"I went to the optometrist, and my prescription got strong. She warned me about being at risk for losing my vision.",afraid
116,My old high school is being turned into an old people's apartments building. So sad. ,nostalgic
117,I was grateful when my mother visited me for my birthday.,grateful
118,when i had to say goodbye to my dad,devastated
119,I turn 29 today! It is a great day since its my birthday,joyful
120,getting ready for irma ,prepared
121,My neighbor went back to school at 59. She just got her bachelor's this year.,impressed
122,I shouldn't have to cook on my birthday. This is when I miss having a boyfriend.,sad
123,My friend's boyfriend got into an accident 5 years ago. She's still with him.,faithful
124,I got pulled over and almost got a ticket.,afraid
125,"I've been taking care of my aging mom for 5 years now and don't really have any friends, since so much time is used taking care of her.",lonely
126,"I saw a little turtle about to get hit on the road the other day and I was in a hurry and didn't stop and get him. I hope he made it across the road, poor little guy.",guilty
127,"My mom has arthritis in her neck, and the pain seems to be traveling down now.",sad
128,in a hurry to go on vacation! ,anxious
129,I was sent to close a deal with a client.,confident
130,I once saw a snake in the woods and got very scared.,afraid
131,My mom went back to school at 63 and recently got her bachelor's in computer science!,proud
132,"I finally finished my phlebotomy class. It was an hours drive one way, yuck. But thankfully it's over and I can try to get on at a local Hospital. They are hiring I heard.",grateful
133,Had a interview yesterday. I think it went pretty well. I hope I get the job.,anticipating
134,I bought a lottery ticket and was hopeful I would win.,hopeful
135,"My birthday was last weekend, and no one wished me a Happy Birthday.",sad
136,I was thrown a surprise party for my 30th birthday.,surprised
137,I was told my cat only has a few weeks to live.,sad
138,when someone tried to get me to go out to a bar behind my spouses back ,faithful
139,My friend just bought a brand new car. My car hasn't worked for months,jealous
140,when my dog died ,sad
141,Went out with my friends last night after not seeing each other for a year. I was in another country for work and just got back.,joyful
142,"I'm trying to sell my house. It's been on the market for a year now, but I think I found someone who might buy it.  I'm trying to move to another area.",hopeful
143,I'll get to go on vacation tomorrow. Been working really hard to get things clear up so I can enjoy myself.,excited
144,when i offered to work extra hours to make up for bills ,caring
145,"Just moved here for work, and I don't know anyone. My coworkers have families of their own.",lonely
146,I went to the grocery store the other day. I shopprf got sn hour then realized I had left my purse home.,embarrassed
147,waiting for christmas! ,anticipating
148,Went for a visit to the place I grew up and it has gone down hill a lot since I was there last. Very sad. A lot of the houses look so run down and dilapidated. ,nostalgic
149,I was thrown a party yesterday and had no idea it was happening.,surprised
150,My daughter started a new school last year. She s adjusting great and had made a lot of friends.,proud
151,When I was a child and found out my friends could come over. ,surprised
152,When i was moving and lost my insurance to my car. ,terrified
153,I did not get the promotion at work that I wanted.,jealous
154,My neighbor's kid just lost his eyesight. The whole family is devastated.,caring
155,I once went to see fireworks with my best friend. Best day of my life. We're no longer friends.,sentimental
156,"My child lied to me, and went somewhere he shouldnt have went. ",furious
157,I saw that they are going to remake a movie I like a lot.,nostalgic
158,There was once a mouse in my  kitchen. I almost died.,afraid
159,I think my job will lay us off. ,afraid
160,I finally rearranged the garage after a year of putting it off,proud
161,I lost my cat to old age and cried all night about it.,sad
162,I always donate my change when I shop at my local drug store. Makes me feel like I' doing something good.,caring
163,I lost my wallet and had to get all new cards,sad
164,to go to a concert. ,excited
165,When the Falcons won the game I was excited.,excited
166,Our lights went out last week during a storm. Its was only for 15 minutes but I was so scared.,afraid
167,I was impressed by the new Tesla.,impressed
168,i changed my own oil ,impressed
169,I wish I had someone to spend my days with. I feel a alone.,lonely
170,when my daughter choked on a piece of food ,afraid
171,I went to class and I brought extra supplies since I knew we had a test.,prepared
172,I was sad when my grandma died.,sad
173,"When I was little, I was afraid of the dark.",afraid
174,I went to a cheerleading event and a girl did a double backflip,impressed
175,I was surprised when I was accepted into Harvard.,surprised
176,my wife keeps giving our son a stick and he keeps hurting himslef.,annoyed
177,I am afraid of clowns.,afraid
178,I was attavked by seagulls on the balcony of a hotel last weekend. I was eating crackers.,terrified
179,I got in my car and my son left a note on my seat.,surprised
180,I am ashamed when I cheated on the test.,ashamed
181,"I'be been thinking a lot about my childhood lately, sort or reminiscing.",sentimental
182,I am grateful to be alive.,grateful
183,I went swimming in the pool and some of my extensions came out in the water. No one saw but me.,embarrassed
184,I am terrified of ghosts.,terrified
185,I am prepared for the hurricane.,prepared
186,I got a huge bonus at work and was able to pay off my debt.,grateful
187,Some left their garbage outside of the dumpster in my apartment complex. Now at night there are a bunch of raccoons outside.,angry
188,I am hopeful I win the lottery.,hopeful
189,My friend is annoying me.,annoyed
190,I was joyful when my son was born.,joyful
191,I can't wait for HAlloween. It is my favorite holifay. I love dressing up with the kids.,anxious
192,I went to pick up my date and was very clam and collected.,confident
193,I am proud I graduated college.,proud
194,Got asked to my boss' office. Thought I was getting bad news but turns out I was offered a promotion.,surprised
195,I am confident I will pass the test.,confident
196,I think eventuallt the presidency is going to go in a more positive direction,hopeful
197,I let my new neighbors borrow our lawnmower. It came back broken.,trusting
198,I ordered McDonalds yesterday and since my lazy daughter wouldn't get out of bed I ate her food. I kind of fell bad about it.,guilty
199,I am ashamed I lied to the police.,ashamed
200,I am ready to go to a amusement park with my son.,excited
201,Went to the beach the other day and remember how much my friend liked going together.,sentimental
202,I ordered $20 in Krystals the other day. It was terrible.,furious
203,I am disgusted that the criminal got away.,disgusted
204,I am embarrassed when I forgot my lines in the play.,embarrassed
205,I got stock from family a long time ago. I just let it sit there. It's risen 10 times since.,grateful
206,I lost my keys at work and looked stupid searching for them.,embarrassed
207,"I just applied for a promotion, and I should earn at least 10k more.",hopeful
208,I was going through old photos of my family and when I was younger.,nostalgic
209,My cousin just got out of a 7 year relationship. Turns out she was cheating for the last 3 years.,caring
210,I'm sad that game of thrones is ending. Great shows should last forever like the simpsons.,disappointed
211,The summer is almost over. I couldn't be any happier!,joyful
212,I was content getting a B on my exam.,content
213,We have a work presentation coming up soon. I think we've got everything to present.,prepared
214,My wife and I are going on vacation next week. We're satying in a cabin in West Virginia.,excited
215,"One time I met a girl from Tinder and I really thought we were hitting it off. We met up and had a great time, but then she ghosted me right afterward.",disappointed
216,seeing photos of my hometown,nostalgic
217,I'm doing a drink a paint session this weekend. I can't wait. It's goin to be fun!,anxious
218,I am jealous of The Rock.,jealous
219,I was afraud ny son wasn't going to be able to talk because he didn't for so long. Now he won't shut up and I am so happy!,proud
220,I was surprised when Trump won the election.,surprised
221,When I lost my job. ,afraid
222,Lies,angry
223,I had a girl that I was seeing one time and she asked if I wanted to come with her to meet one of her friends. I went along and the way she talked to her was so much more passionate and energetic than with me and it made me wonder what he has that I don't.,jealous
224,I was prepared for the History test.,prepared
225,"I texted one of my old buddies from years and years ago and he not only responded, but we met up for lunch yesterday and had a great time! Now we're gonna hang out again on Sunday and I'm so pumped!",excited
226, I was devastated when the Falcons blew the Super Bowl.,devastated
227,I am excited for football season.,excited
228,I was apprehensive to get married.,apprehensive
229,"I let my cat out for the evening , the first time I left her outside at night and she didn't come back. ",devastated
230,I've been in my crappy apartment so long. I think just used to it now.,content
231,"I went on my first date ever only about a month ago. Even though I knew this girl really well beforehand, I was still really worried that it would be awkward and that I might mess it up.",anxious
232,I am scared of how I will die.,afraid
233,I am ready for hockey season.,excited
234,My kids are the best. They get excited about everything. I think I had some good ones.,grateful
235,My transmission went out in my car. My dad loaned me $500 to get it fixed. ,grateful
236,Had HELLP syndrom with first child.  Spent all 9 months being pregnant with 2nd child worrying about the same thing happening.,apprehensive
237,I hate seeing new cars on the road. My car won't even move.,jealous
238,I am always alone in the summer.,lonely
239,I was driving past the elementary school that I went to years ago and I decided to go through the parking lot for a few minutes. I saw all the old buildings and even the old playground and it really surprised me as to how little it has changed.,nostalgic
240,My sister in law basically lives off of my mother in law and her kids get everything. My mother in law rarely gives our kids anything because we have the money to do it ourselves - and I get a bit miffed at times.,jealous
241,I really like our new football coach.,impressed
242,I am happy to be an American.,proud
243,"We tried for a baby for a long time, almost 4 years.  Waiting those 9 months to meet her were so hard!",anticipating
244,I feel bad I stole the cookie.,guilty
245,I passed all of my classes last semester. I had been struggling in college for a while.,joyful
246,I have a job interview coming up next week. I'm a little nervous about it.,anxious
247,MY ex didn't show up to court again. He is always wasting my time.,angry
248,I am ok with being fat.,content
249,I am excited for the baseball playoffs.,excited
250,I was on jury duty for three months recently and it was very interesting and kind of fun. I was surprised.,impressed
251,I am shocked it hasn't rained today.,surprised
252,We've had some big rain storms where I live this spring and summer. The creek behind my house got almost in the yard twice already. Very scary.,terrified
253,I was very furious the other day when someone scratched the backend of my car.,furious
254,"I really got close with a girl that I met from Tinder, to the point where we were ""dating"". Then randomly, after like 4 days, she says that she doesn't want to date anymore and then just stops talking to me.",sad
255,We recently went on vacation with some friends to Disney world.  They had never been before and we are annual passholders so we have been several times over the last year.,confident
256,"I recall this time when I was making a pizza and I got an important call from my boss. I had to talk with him for about 15 minutes and when I came back, I realized the pizza had been burnt in the oven. I was very annoyed because I worked hard to make it!",annoyed
257,I was very afraid in airplane because of turbulence.,terrified
258,"I recall a time when I had to go to my cousin's birthday part, and I overslept! I felt really guilty about that.",guilty
259,"When I was driving home from my first job it was snowing. I accidentally hit a curb and spun into the other lane and almost into a ditch, I was very scared",afraid
260,"My Aunt had an emergency and dropped her son with me, I took care of him.",caring
261,My brother recently applied to an Ivy League school. We just found out he was accepted.,impressed
262,"I am trying to sell my house for 89k dollars, I have been in a bad financial situation, my nephew knows it, and now he is trying to buy my house just for 75k, trying to take advance of my situation ",sad
263,"When my brother graduated high school, I was very proud of him, it was a big accomplishment",proud
264,When I got the results back to all my finals for last semester of college. I thought I might fail but I passed all my classes.,joyful
265,"It's been so dry in my area lately , I'm afraid there might be some forest fires. I live near a mountain. ",afraid
266,"My friend is such a narcissist sometimes. He seems to think that he is the best looking, strongest guy ever and he constantly tries to brag about it to me and compare himself to me.",annoyed
267,"I have always been faithful to my girlfriend of almost 3 years, which I am proud of",faithful
268,i know i can lose weight,confident
269,When I was a child I was chased by a pitbull and I was very afraid. Dogs had always scared me at that age,afraid
270,"I remember waiting for the Nintendo Switch to come out, I was so excited, I still love using it every day!",anticipating
271,i was devastated when my favorite world cup team was knocked out of the tournament. ,devastated
272,I slipped while carrying a tray of coffee. I got it all over myself.,embarrassed
273,I was surprised when my parents picked me up from work in a new car for me. I did not expect that at all!,surprised
274,I situation in which I felt alone was when my partner left me.,lonely
275,"When I was in preschool, my pants fell down in class. I was laughed at a lot",embarrassed
276,"When I was younger my dad scared me and my brothers when we were trying to sleep, I almost wet the bed. I was very terrified",terrified
277,When my grandmother passed away I was so sad. I was only 13 years old,devastated
278,There's been a big white wolf or coyote coming in my yard lately. I am afraid it will kill the neighbors cats. ,disgusted
279,A friend of mine recently got married. I hadn't even know he was engaged!,surprised
280,My dad had a problem with drinking and it created problems. When he finally quit I was very proud.,proud
281,"My friend's parents are missionaries and therefore go to Africa all the time, so it was no big deal when I heard he was going to Samoa for a while. What I didn't know is that he was actually moving there for a few years, which I really didn't expect.",surprised
282,I broke a vase at my mom's house and hid it. I still haven't told her about it.,guilty
283,My dad accidentally got into rat poison and died.,devastated
284,My friend got a huge scholarship when he barely passed the PSAT. I was quite jealous that I was unable to do the same thing.,jealous
285,Once I realized that I needed at least a 31 on my ACT in order to get a nice little scholarship for college. I studied my heart out to improve my 29 and I felt super confident that I'd get the 31. Instead I actually got a 33!,prepared
286,"My friend took some of my money without asking. When they confessed I wasnt mad, just disappointed.",disappointed
287,Today going to the dentist I was going to have my first root canal done ever along with three other teeth worked on. I knew I would be numbed but that came with the price of a needle being used. I was very nervous and worried.,terrified
288,As a child i was sitting in my parents car and a storm started. I was just playing my gameboy and the car started to shake. A log went right through the car window after a couple of minutes of the storm starting.,terrified
289,"Back in freshman year of college, I really wanted to room with my brother even though he was not a freshman but a sophomore. I was really rooting for that to happen but instead I got roomed with some random guy.",hopeful
290,We moved to a new house last year and love it - and have spend much less working on projects and more time with the kids.,joyful
291,When i was young i was pretty hyper. But when we had a connect four tournament at my school i back seated someones match. I didn't point anything out really but they gave them a lose and it got me really mad i threw a chair in class.,angry
292,"Back in October of last year I had my first drink. At that time I had never drank or tried any drugs or anything, so I was very nervous about trying anything mind altering like that.",apprehensive
293,"My friend just came over yesterday and talked about how he met a super great girl and is going on a date with her sometime soon. Although I'm super happy for him, I can't help but wish I could be in a relationship myself.",jealous
294,I felt confident when I won the honor society election in high school. I beat someone way more popular,confident
295,My kids were being bad and I yelled at them.,guilty
296, I was surprised when my parents bought me a car. I did not expect it at all,surprised
297,I was shocked when I got a new car. My parents surprised me so well!,surprised
298,I had one time where I was at a party and a girl started to act really flirty with me and we were both kinda drunk. I had a girlfriend at the time so I made sure to let her know so that she didn't get the wrong idea.,faithful
299,"I asked my 7 year old what 12x12 was the other day, and he gave me the correct answer.",impressed
300,When i was younger i wanted a gamecube for my birthday. On my birthday my parents told me to clean the bathroom. Ended up in the bathroom was a gamecube with 4 games. ,surprised
301,I participated in my high school runners' marathon and came in 2nd place. I felt very proud because I trained hard for it.,proud
302,I was proud of my brother when he graduated high school,proud
303,"Whenever my girlfriend at the time broke up with me and ghosted me, I had no idea what to make of the situation. I never would've expected her to do that, since she seemed really into me.",surprised
304,"Recently I met up with a friend that I knew years and years ago and I learned that he actually bought his house from his mom. We went there and had a few beers and it looked exactly the same as before, even smelled the same.",nostalgic
305,I was sad when my grandmother passed away. I was still a child,sad
306,I have a long term girlfriend. I have never or will never cheat on her,faithful
307,I was in college for 8 years. I didn't get done until the end of 2017. I graduated high school in 2009 felt so proud when i was done with school.,proud
308,I have been faithful to my long time girlfriend. I would never cheat on her,faithful
309,My sister is coming from France to visit us. I am happy to see her again.,joyful
310,I just started working out and wasn't sure how to start.,apprehensive
311,"I was in morning rush hour traffic, and the driver in front of me was putting on makeup. Her complete lack of attention meant that she did not notice when the car in front of HER moved, and we missed the light.  It is a LONG light that we had to sit through AGAIN. Ugh!",annoyed
312,"Once, I tried hard to update my CV as per the job description and applied for a good position, however my CV didn't even pass the screening level.",disappointed
313,Lately I have been very upset and worried about my financial situation. The stress has been quite overwhelming.,terrified
314,I saw that my coworker left food in the fridge and hat not eaten it in 2 days. I ate it myself and I felt bad,guilty
315,I was confident when I beat this popular girl in the class elections in high school. I expected to lose badly,confident
316,I was surprised when I went on a beach trip and my good friend from Florida was there but we lived two hours away by plane.,surprised
317,I am surprised England Lost to Croatia on the World Cup,surprised
318,my parents let me live with them. They do not charge rent so I am very appreciative of them,grateful
319,When i got my first job in retail i was scared on the interview. But as i got there i took a deep breath and went in. I felt really confident after that and got the job.,confident
320,I once broke a fax machine my parents spent a lot on. I felt bad about it since it wasn't what i meant to do. He ended up throwing the Fax machine around the room.,guilty
321,I met with an accident once. Kindhearted passerby saved my life,grateful
322,I was angry when my brother ruined the result of a football game. I recorded it to watch later,angry
323,I am excited tomorrow is my birthday,excited
324,"I was lonely as a teenager, I had no girlfriend and few friends. I was sad often",lonely
325,I am so proud about myself. I just got promoted.,proud
326,playing my gameboy makes me nostalgic. i love pokemon emerald the most,nostalgic
327,Someone rear ended me a few months ago. I was very upset because I had places to be,furious
328,I was terrifified when my dad scared me as a kid. I have to admit he was good at it,terrified
329,"Last winters, I went uphill and took a 2 hour Skiing classes which really helped to enjoy Skiing there after",confident
330,I hope the nintendo switch get madden on it. I love portable football games,hopeful
331,I felt joyful when my wife and I decided to go to the lake today. This situation has made me feel really happy because I love swimming. ,joyful
332,"My husband cut his hand while working in the yard. He came inside and needed a bandage. I was able to care for his wound with alcohol, gauze and a bandage. I joked with him and made him smile.",caring
333,When i was young i loved Jurassic Park. Family went down to Florida to the universal park. I was so hyper and happy to get on that ride for the movie.,excited
334,I have tried really hard to make my new business work. It's been a very slow start.,disappointed
335,"On my birthday, no one showed up to the celebration. I had dinner by myself in my apartment.",lonely
336,"I was out hiking, and came very close to stepping on a rattlesnake. There was not an easy way to get around it, so we had to backtrack and cut through some heavy brush.",terrified
337,I recently wore a bikini to the beach after losing 20 lbs. I felt amazing!,confident
338,My grandmother is getting out of the hospital,joyful
339,I hope the immigrants children get reunited with their families,hopeful
340,I was very sure of myself when applying and getting into physical therapy school.,confident
341,I am so jealous of my co-worker.He got the promotion I had my eye on it.,jealous
342,When I was gifted my laptop for christmas,joyful
343,Once my little cousin got into my room and pour coke onto my keyboard. He didn't mean to do it but the coke ended up spilling off the desk into my computer. Fried the computer and i was just so mad!,furious
344,I had an interview the other day for a part-time-job and am hoping I get it! ,hopeful
345,I am so annoyed that France is in the world cup final.,annoyed
346,I am so surprised Roger Federer lost his match on Wimbledon ,confident
347,"Shortly after I got married, my wife and I decided that we wanted to have kids. When we found out she was pregnant, we couldn't wait to find out if we were having a boy or a girl.",anticipating
348,When my mom recently offered to help me with a medical bill. I was very stressed out because I had to have surgery and had a high deductible. She really helped me out a lot.,grateful
349,"When I was working for my last company, I used to travel a lot and frequently used to miss my family and friends",lonely
350,Can't wait for my vacation to Las Vegas tomorrow,excited
351,"Last night, I dreamt that I was riding around the road on a motorcycle, and at one point almost fell of making a quick sharp turn. ",afraid
352,My boy just get is first job. I feel really proud of him.,impressed
353,"I once told a co worker about an upcoming job promotion and they applied for it themselves, but also made me look bad in the process.",annoyed
354,"My best friend and roommate got accepted into a competitive master's program in Chicago and broke our lease to leave. I felt stuck while he got off and do the things he wanted to do.  He made me feel like I wasn't good enough anymore to be his friend. Meanwhile, I stayed in town and struggled to even finish my bachelor's while working a dead end job. ",jealous
355,I am so exited about the coming world cup final.,excited
356,I am so disgust at Donald Trump.,disgusted
357,One time i was at a party with friends. I for some reason thought people were driving in my car to the next place. Then ended up they weren't going in my car and i felt embarrassed yelling at them.,embarrassed
358,I studied really hard for my annual exam but did not get my desired grade. it left me very disappointed in myself. ,disappointed
359,I recently broke up with my girlfriend and i feel lonely.,lonely
360,"I decided to I would buy a few lottery tickets. My luck is normally not all that great. I scratched the 3 lottery tickets I bought and won $50,000!",excited
361,I was traveling to my daughters new house at night and I was feeling a little anxious about not finding her house.,apprehensive
362,I think the future will be brighter and conflicts between countries will be smoothed over.,hopeful
363,It was a time of my life where i liked spooky things. I went into a abandoned house and i decided to spend the night. Well i started hearing noises and voices and i just was so scared i ran out the house.,terrified
364,The day I started working my first government IT Job was an exciting day for me.,proud
365,"During Hurricane Irma last year, tarps, water, batteries and other supplies sold out way ahead of the storm. I managed to gather the things we needed over the course of the next week, ahead of the storm.",prepared
366,My car broke down when I was travelling to work and I missed a very important meeting regarding my promotion. I was devastated.,devastated
367,"During college, I was bullied.",annoyed
368,My family went on vacation and left me all alone.,lonely
369,I was really amazed to see my kid snowboarding so well during last winters ! Must say he's a quick learner.,surprised
370,When i go to conventions i always want to be ready for anything. I pack a first aid kit and a lot of food. I always want to be ready for the worse at conventions but it can happen.,prepared
371,I'm predicting a very warm summer this year.,anticipating
372,"My apartment flooded in a storm about a month ago, and the contractor who is supposed to repair the damage has taken three weeks instead of the three days he said it would take to do the repairs.",furious
373,I recently did a tour through my old high school and it brought back a lot of memories.,nostalgic
374,"By mistake, I saw an image of a car accident. I was disgusted.",disgusted
375,My boyfriend cheated on me while I was away visiting family.,angry
376,"I was at a talent show and I saw a man playing an entire song by himself, he played the guitar, drums, and sang all at once, it was really crazy to see.",impressed
377,When my friends have computer troubles they come to me. I always have a way to fix up their computers. always ready and willing to help anyone though.,prepared
378,"When I missed up a hit, but was told I could redo it to reverse the rejection.",hopeful
379,My boyfriend kept me up all night when I had to work the next morning by playing video games,annoyed
380,"My boss called to tell me that I would be receiving a package the next day, and that I should call her before opening it.  I was really hoping that it was a special award that my company gives to deserving employees, but it turned out to be some personnel paperwork that she needed to go over with me. ",disappointed
