Unnamed: 0,situation,emotion,labels
24,After learning my husband of only 4 weeks was cheating on me I did the same to him. Not only was it before our marriage but I had found texts of him contacting her for sex after. To make it worse I slept with a close family friend of his.,guilty,"['Distress', 'Helplessness']"
25,"when I was younger, my parents picked me up from work with a new car, which really surprised me, I was so excited to have my own car!",surprised,"['Urgency', 'Anxiety']"
26,I get wistful remembering my high school days.,nostalgic,"['Calm', 'Distress']"
27,"Last year I placed an article in an academic journal. This was the first time in a while that I had been able to do this, and it made me feel better about myself.",confident,['Calm']
28,I get irritated with a coworker that gets on my nerves all the time by coming and bothering me smelling like smoke and trying to chat itu p,annoyed,['Aggression']
29,I broke a statuette offered by grandmother to my sister.,guilty,"['Distress', 'Helplessness']"
30,"I ordered for French fries ,bit was served burger,that pissed me off!",furious,"['Aggression', 'Coercion', 'Panic']"
31,"There was a situation where I might of hurt my freinds feelings, I ate from my friends fridge and he had no more food left that day. He had to go to bed with no food. Hungry.",guilty,"['Distress', 'Helplessness']"
32,"I was just on vacation in Biloxi. While hanging out on the balcony, I dropped some chips and then the balcony was swarmed by seagulls.",terrified,"['Fear', 'Panic']"
33,"My mom took away my game system, and would not give it back ever again.",furious,"['Aggression', 'Coercion', 'Panic']"
34,One of my friend didn't keep this promise he made to me.,disappointed,"['Distress', 'Helplessness']"
35,There were times where I was being seduced by a coworker of mine.  I remained committed to my wife and did not cheat.  It was a good decision.,faithful,['Calm']
36,"I look out for all my students, if they are struggling, I take however much time they need to understand.",caring,['Calm']
37,"I felt sad when my dog passed away. It was a pet that I had since I was 3 years old, and was one of the saddest days of my life.",sad,"['Distress', 'Helplessness']"
38,"Yesterday, I was really craving Dairy Queen. So, I got in my car and went to grab some Blizzards. When I got there, they were closed. ",disappointed,"['Distress', 'Helplessness']"
39,A situation when I felt grateful was when I had a flat tire and my father came to help me with it.  I felt grateful to have family around to be there for me.,grateful,['Calm']
40,Every year on my kids birthday's I think back on when they were born. I remember all the sweet smells and sounds of them as a baby.,sentimental,"['Calm', 'Distress']"
41,When I was little and I found out that we were going to the amusement park . ,excited,['Urgency']
42,My wife and I took a 3 week trip to New Zealand last year.,excited,['Urgency']
43,I felt caring when I had to pick up and take care of my ailing cousin. His stomach felt bad and he was vomiting all over the place. I helped clean him up and gave him some medicine to make his stomach go back to normal.,caring,['Calm']
44,"Two years ago, i was admitted in hospital. I was not well. I felt afraid whether i would be alive. But fortunately, i am live",afraid,"['Fear', 'Anxiety']"
45,I am so annoyed by my new manager at work. He always lies to us. ,annoyed,['Aggression']
46,"Lending my vehicle to a friend, which I never do.",trusting,['Calm']
47,I just went for a shopping spree and bought a $2000 bag,guilty,"['Distress', 'Helplessness']"
48,"Had to wait in line forever to check out at walmart , horrible",disgusted,"['Aggression', 'Distress']"
49,I had a co-worker open at my jb and instead of getting anything done she spent the enitre time on the phone. When I got to work I had to do her job and my own. ,furious,"['Aggression', 'Coercion', 'Panic']"
50,Recently my manager lied to us. He changed our money and took the bonus away. ,angry,"['Aggression', 'Coercion']"
51,"I was in a situation where I missed out on making some money, that caused me not to be happy.",sad,"['Distress', 'Helplessness']"
52,We were getting ready to move back to our hometown after nine years away. I could not wait to be back close to family and friends.,anticipating,"['Urgency', 'Anxiety']"
53,I was reversing the car in the roadside. I had bumped into the car which was parked behind. I had to wait for so long to speak to the car owner,anxious,"['Anxiety', 'Panic']"
54,When my partner went out of her way to make my day better. with gifts. ,nostalgic,"['Calm', 'Distress']"
55,I woke up early today for work. My children were still up watching cartoons!,surprised,"['Urgency', 'Anxiety']"
56,"Finally got some yard work done , Love the smell of fresh cut grass.",proud,['Calm']
57,"When I realized all the chocolate was gone, after a long day. ",sad,"['Distress', 'Helplessness']"
58,"My daughter, who has a fear of water, has learned to swim this summer! She still gets a little nervous, but overall she loves it!",joyful,['Calm']
59,I am concerned about the financial situation of my employer.,afraid,"['Fear', 'Anxiety']"
60,My ex girlfriend cheated on me with one of my closest friends. It made me very angry at the both of them.,angry,"['Aggression', 'Coercion']"
61,I heard a car outside that sounded like it wrecked yesterday. It sounded  awful.,anxious,"['Anxiety', 'Panic']"
62,I was getting in a Taxi and noticed someone had thrown up in the backseat.,disgusted,"['Aggression', 'Distress']"
63,I Felt hopeful when I met my betterhalf for the first time. She gives me hope for my remaining life without saying anything. I feel hopeful after my marriage. ,hopeful,"['Calm', 'Urgency']"
64,I came across an old keychain that my dad gave to me when I was younger. It was cool. ,sentimental,"['Calm', 'Distress']"
65,"My handyman keeps telling me he's coming by to fix my sink, but then he doesn't show up. Ugh.",furious,"['Aggression', 'Coercion', 'Panic']"
66,I was jealous when my co worker kept getting top spot when i knew he was cheating. ,jealous,"['Coercion', 'Distress']"
67,"When i was in High school, I was in the all state band. I was very confident.",confident,['Calm']
68,I am happy to have a good vacation,content,['Calm']
69,"My daughter used the potty for her first time the other day, it was awesome. ",proud,['Calm']
70,The other day my daughter knew to throw away her food when she was done. ,impressed,['Calm']
71,i am angry against a friend that suppose to help me.,furious,"['Aggression', 'Coercion', 'Panic']"
72,"I remember getting prepared for my trip to peru, it was crazy! ",prepared,"['Calm', 'Urgency']"
73,I let my friend borrow my debit card the other day. She needed to put gas in her car for work. She brought it right back.,trusting,['Calm']
74,I thought my company was going to have a lay off. it was a tough few weeks.,afraid,"['Fear', 'Anxiety']"
75,The other day I was surprised with a big bonus from work. ,surprised,"['Urgency', 'Anxiety']"
76,I was going to see the new Marvel movie. On the way I got really pumped up.,excited,['Urgency']
77,"My neighbors left town and the weeds are so high, I'm afraid snakes might start living over there.",furious,"['Aggression', 'Coercion', 'Panic']"
78,Today is my birthday. I can't wait to see who calls me. Or my gifts.,anxious,"['Anxiety', 'Panic']"
79,when i moved into my apartment it was full of bugs! ,angry,"['Aggression', 'Coercion']"
80,I was disappointed by my manager when he told that I will probably get my promotion next year (not this year),disappointed,"['Distress', 'Helplessness']"
81,I get to go out today after work! yay,excited,['Urgency']
82,I ripped my pants on bourbon street the other day. Luckily I was wearing a long shirt.,embarrassed,"['Distress', 'Helplessness']"
83,I was driving down a road at night and my car died. I sat in a car with not lights for hours.,terrified,"['Fear', 'Panic']"
84,I cant wait for my house to sell.. its a slow market. ,hopeful,"['Calm', 'Urgency']"
85,I have been in college for four years and am only a sophmore. I am going diuble my work load and finish next fall.,hopeful,"['Calm', 'Urgency']"
86,I am annoyed by a coworker making joke about me.,annoyed,['Aggression']
87,My daughter hit her head the other day. she was sad. ,caring,['Calm']
88,My next door neighbors are always arguing in our shared hallway. Now they have a baby and the scream while she cries. It is so annoying.,annoyed,['Aggression']
89,I was drivng home and this guy cut me off. I had to swerve in order to not hit him.,furious,"['Aggression', 'Coercion', 'Panic']"
90,"I was lost in a neighborhood I didn't know, when some guy came up to me and quietly asked if I needed a ride.",afraid,"['Fear', 'Anxiety']"
91,"I really want to win the lottery someday, maybe i will? ",hopeful,"['Calm', 'Urgency']"
92,I will pass a examen next monday. I reviewed all the content for the course,prepared,"['Calm', 'Urgency']"
93,I was given a large raise at work.,grateful,['Calm']
94,I've lost my job and am behind on my mortgage. It scares me that I could lose my home.,terrified,"['Fear', 'Panic']"
95,Today is my birthday and I am going to party this weekend!,excited,['Urgency']
96,I lied to the people I work out with. I told them I was out of town but I relaly just did not want to work out.,ashamed,"['Distress', 'Helplessness']"
97,Someone offered me a job online to make a lot of money. ,apprehensive,"['Anxiety', 'Fear']"
98,i applied for 200+ jobs and still didn't hear from none of them!,surprised,"['Urgency', 'Anxiety']"
99,I ate all my kids cookies and blamed it on the dog.,guilty,"['Distress', 'Helplessness']"
100,No one ever visits me anymore. I am always by myself in this apartment.,lonely,"['Distress', 'Helplessness']"
101,"not living near family, being in a new place. ",lonely,"['Distress', 'Helplessness']"
102,I saw a snake outside my apartment today,disgusted,"['Aggression', 'Distress']"
103,I just found out they are not making a sequel to a movie I like.,sad,"['Distress', 'Helplessness']"
104,I was able to save a blind lady from falling down an escalator.,proud,['Calm']
105,"missing money from my paycheck, wrong hours and bonus again! ",furious,"['Aggression', 'Coercion', 'Panic']"
106,"I was mowing the lawn, and a rock flew and broke my neighbor's window.",ashamed,"['Distress', 'Helplessness']"
107,I used to think I had gotten to big to wear a swimsuit. I went to the beach last week and those ladies were really flaunting their stuff. I have a once piece now.,confident,['Calm']
108,A few years ago when my grandmother died unexpectedly.,sad,"['Distress', 'Helplessness']"
109,I feel bad that I work too much and dont see my daughter. ,guilty,"['Distress', 'Helplessness']"
110,My friend called someone a bad name.,disgusted,"['Aggression', 'Distress']"
111,My fence is collapsing at areas where my neighbors keep climbing over to get their ball. It's going to be expensive to fix.,annoyed,['Aggression']
112,I cant wait to relocate again. ,anxious,"['Anxiety', 'Panic']"
113,"My brother usually doesn't do anything for me unless asked. After 3 decades, he actually took me out for my birthday.",surprised,"['Urgency', 'Anxiety']"
114,My texted me happy birthday yesterday. My birthday is today.,disappointed,"['Distress', 'Helplessness']"
115,"I went to the optometrist, and my prescription got strong. She warned me about being at risk for losing my vision.",afraid,"['Fear', 'Anxiety']"
116,My old high school is being turned into an old people's apartments building. So sad. ,nostalgic,"['Calm', 'Distress']"
117,I was grateful when my mother visited me for my birthday.,grateful,['Calm']
118,when i had to say goodbye to my dad,devastated,"['Distress', 'Helplessness', 'Panic']"
119,I turn 29 today! It is a great day since its my birthday,joyful,['Calm']
120,getting ready for irma ,prepared,"['Calm', 'Urgency']"
121,My neighbor went back to school at 59. She just got her bachelor's this year.,impressed,['Calm']
122,I shouldn't have to cook on my birthday. This is when I miss having a boyfriend.,sad,"['Distress', 'Helplessness']"
123,My friend's boyfriend got into an accident 5 years ago. She's still with him.,faithful,['Calm']
124,I got pulled over and almost got a ticket.,afraid,"['Fear', 'Anxiety']"
125,"I've been taking care of my aging mom for 5 years now and don't really have any friends, since so much time is used taking care of her.",lonely,"['Distress', 'Helplessness']"
126,"I saw a little turtle about to get hit on the road the other day and I was in a hurry and didn't stop and get him. I hope he made it across the road, poor little guy.",guilty,"['Distress', 'Helplessness']"
127,"My mom has arthritis in her neck, and the pain seems to be traveling down now.",sad,"['Distress', 'Helplessness']"
128,in a hurry to go on vacation! ,anxious,"['Anxiety', 'Panic']"
129,I was sent to close a deal with a client.,confident,['Calm']
130,I once saw a snake in the woods and got very scared.,afraid,"['Fear', 'Anxiety']"
131,My mom went back to school at 63 and recently got her bachelor's in computer science!,proud,['Calm']
132,"I finally finished my phlebotomy class. It was an hours drive one way, yuck. But thankfully it's over and I can try to get on at a local Hospital. They are hiring I heard.",grateful,['Calm']
133,Had a interview yesterday. I think it went pretty well. I hope I get the job.,anticipating,"['Urgency', 'Anxiety']"
134,I bought a lottery ticket and was hopeful I would win.,hopeful,"['Calm', 'Urgency']"
135,"My birthday was last weekend, and no one wished me a Happy Birthday.",sad,"['Distress', 'Helplessness']"
136,I was thrown a surprise party for my 30th birthday.,surprised,"['Urgency', 'Anxiety']"
137,I was told my cat only has a few weeks to live.,sad,"['Distress', 'Helplessness']"
138,when someone tried to get me to go out to a bar behind my spouses back ,faithful,['Calm']
139,My friend just bought a brand new car. My car hasn't worked for months,jealous,"['Coercion', 'Distress']"
140,when my dog died ,sad,"['Distress', 'Helplessness']"
141,Went out with my friends last night after not seeing each other for a year. I was in another country for work and just got back.,joyful,['Calm']
142,"I'm trying to sell my house. It's been on the market for a year now, but I think I found someone who might buy it.  I'm trying to move to another area.",hopeful,"['Calm', 'Urgency']"
143,I'll get to go on vacation tomorrow. Been working really hard to get things clear up so I can enjoy myself.,excited,['Urgency']
144,when i offered to work extra hours to make up for bills ,caring,['Calm']
145,"Just moved here for work, and I don't know anyone. My coworkers have families of their own.",lonely,"['Distress', 'Helplessness']"
146,I went to the grocery store the other day. I shopprf got sn hour then realized I had left my purse home.,embarrassed,"['Distress', 'Helplessness']"
147,waiting for christmas! ,anticipating,"['Urgency', 'Anxiety']"
148,Went for a visit to the place I grew up and it has gone down hill a lot since I was there last. Very sad. A lot of the houses look so run down and dilapidated. ,nostalgic,"['Calm', 'Distress']"
149,I was thrown a party yesterday and had no idea it was happening.,surprised,"['Urgency', 'Anxiety']"
150,My daughter started a new school last year. She s adjusting great and had made a lot of friends.,proud,['Calm']
151,When I was a child and found out my friends could come over. ,surprised,"['Urgency', 'Anxiety']"
152,When i was moving and lost my insurance to my car. ,terrified,"['Fear', 'Panic']"
153,I did not get the promotion at work that I wanted.,jealous,"['Coercion', 'Distress']"
154,My neighbor's kid just lost his eyesight. The whole family is devastated.,caring,['Calm']
155,I once went to see fireworks with my best friend. Best day of my life. We're no longer friends.,sentimental,"['Calm', 'Distress']"
156,"My child lied to me, and went somewhere he shouldnt have went. ",furious,"['Aggression', 'Coercion', 'Panic']"
157,I saw that they are going to remake a movie I like a lot.,nostalgic,"['Calm', 'Distress']"
158,There was once a mouse in my  kitchen. I almost died.,afraid,"['Fear', 'Anxiety']"
159,I think my job will lay us off. ,afraid,"['Fear', 'Anxiety']"
160,I finally rearranged the garage after a year of putting it off,proud,['Calm']
161,I lost my cat to old age and cried all night about it.,sad,"['Distress', 'Helplessness']"
162,I always donate my change when I shop at my local drug store. Makes me feel like I' doing something good.,caring,['Calm']
163,I lost my wallet and had to get all new cards,sad,"['Distress', 'Helplessness']"
164,to go to a concert. ,excited,['Urgency']
165,When the Falcons won the game I was excited.,excited,['Urgency']
166,Our lights went out last week during a storm. Its was only for 15 minutes but I was so scared.,afraid,"['Fear', 'Anxiety']"
167,I was impressed by the new Tesla.,impressed,['Calm']
168,i changed my own oil ,impressed,['Calm']
169,I wish I had someone to spend my days with. I feel a alone.,lonely,"['Distress', 'Helplessness']"
170,when my daughter choked on a piece of food ,afraid,"['Fear', 'Anxiety']"
171,I went to class and I brought extra supplies since I knew we had a test.,prepared,"['Calm', 'Urgency']"
172,I was sad when my grandma died.,sad,"['Distress', 'Helplessness']"
173,"When I was little, I was afraid of the dark.",afraid,"['Fear', 'Anxiety']"
174,I went to a cheerleading event and a girl did a double backflip,impressed,['Calm']
175,I was surprised when I was accepted into Harvard.,surprised,"['Urgency', 'Anxiety']"
176,my wife keeps giving our son a stick and he keeps hurting himslef.,annoyed,['Aggression']
177,I am afraid of clowns.,afraid,"['Fear', 'Anxiety']"
178,I was attavked by seagulls on the balcony of a hotel last weekend. I was eating crackers.,terrified,"['Fear', 'Panic']"
179,I got in my car and my son left a note on my seat.,surprised,"['Urgency', 'Anxiety']"
180,I am ashamed when I cheated on the test.,ashamed,"['Distress', 'Helplessness']"
181,"I'be been thinking a lot about my childhood lately, sort or reminiscing.",sentimental,"['Calm', 'Distress']"
182,I am grateful to be alive.,grateful,['Calm']
183,I went swimming in the pool and some of my extensions came out in the water. No one saw but me.,embarrassed,"['Distress', 'Helplessness']"
184,I am terrified of ghosts.,terrified,"['Fear', 'Panic']"
185,I am prepared for the hurricane.,prepared,"['Calm', 'Urgency']"
186,I got a huge bonus at work and was able to pay off my debt.,grateful,['Calm']
187,Some left their garbage outside of the dumpster in my apartment complex. Now at night there are a bunch of raccoons outside.,angry,"['Aggression', 'Coercion']"
188,I am hopeful I win the lottery.,hopeful,"['Calm', 'Urgency']"
189,My friend is annoying me.,annoyed,['Aggression']
190,I was joyful when my son was born.,joyful,['Calm']
191,I can't wait for HAlloween. It is my favorite holifay. I love dressing up with the kids.,anxious,"['Anxiety', 'Panic']"
192,I went to pick up my date and was very clam and collected.,confident,['Calm']
193,I am proud I graduated college.,proud,['Calm']
194,Got asked to my boss' office. Thought I was getting bad news but turns out I was offered a promotion.,surprised,"['Urgency', 'Anxiety']"
195,I am confident I will pass the test.,confident,['Calm']
196,I think eventuallt the presidency is going to go in a more positive direction,hopeful,"['Calm', 'Urgency']"
197,I let my new neighbors borrow our lawnmower. It came back broken.,trusting,['Calm']
198,I ordered McDonalds yesterday and since my lazy daughter wouldn't get out of bed I ate her food. I kind of fell bad about it.,guilty,"['Distress', 'Helplessness']"
199,I am ashamed I lied to the police.,ashamed,"['Distress', 'Helplessness']"
200,I am ready to go to a amusement park with my son.,excited,['Urgency']
201,Went to the beach the other day and remember how much my friend liked going together.,sentimental,"['Calm', 'Distress']"
202,I ordered $20 in Krystals the other day. It was terrible.,furious,"['Aggression', 'Coercion', 'Panic']"
203,I am disgusted that the criminal got away.,disgusted,"['Aggression', 'Distress']"
204,I am embarrassed when I forgot my lines in the play.,embarrassed,"['Distress', 'Helplessness']"
205,I got stock from family a long time ago. I just let it sit there. It's risen 10 times since.,grateful,['Calm']
206,I lost my keys at work and looked stupid searching for them.,embarrassed,"['Distress', 'Helplessness']"
207,"I just applied for a promotion, and I should earn at least 10k more.",hopeful,"['Calm', 'Urgency']"
208,I was going through old photos of my family and when I was younger.,nostalgic,"['Calm', 'Distress']"
209,My cousin just got out of a 7 year relationship. Turns out she was cheating for the last 3 years.,caring,['Calm']
210,I'm sad that game of thrones is ending. Great shows should last forever like the simpsons.,disappointed,"['Distress', 'Helplessness']"
211,The summer is almost over. I couldn't be any happier!,joyful,['Calm']
212,I was content getting a B on my exam.,content,['Calm']
213,We have a work presentation coming up soon. I think we've got everything to present.,prepared,"['Calm', 'Urgency']"
214,My wife and I are going on vacation next week. We're satying in a cabin in West Virginia.,excited,['Urgency']
215,"One time I met a girl from Tinder and I really thought we were hitting it off. We met up and had a great time, but then she ghosted me right afterward.",disappointed,"['Distress', 'Helplessness']"
216,seeing photos of my hometown,nostalgic,"['Calm', 'Distress']"
217,I'm doing a drink a paint session this weekend. I can't wait. It's goin to be fun!,anxious,"['Anxiety', 'Panic']"
218,I am jealous of The Rock.,jealous,"['Coercion', 'Distress']"
219,I was afraud ny son wasn't going to be able to talk because he didn't for so long. Now he won't shut up and I am so happy!,proud,['Calm']
220,I was surprised when Trump won the election.,surprised,"['Urgency', 'Anxiety']"
221,When I lost my job. ,afraid,"['Fear', 'Anxiety']"
222,Lies,angry,"['Aggression', 'Coercion']"
223,I had a girl that I was seeing one time and she asked if I wanted to come with her to meet one of her friends. I went along and the way she talked to her was so much more passionate and energetic than with me and it made me wonder what he has that I don't.,jealous,"['Coercion', 'Distress']"
224,I was prepared for the History test.,prepared,"['Calm', 'Urgency']"
225,"I texted one of my old buddies from years and years ago and he not only responded, but we met up for lunch yesterday and had a great time! Now we're gonna hang out again on Sunday and I'm so pumped!",excited,['Urgency']
226, I was devastated when the Falcons blew the Super Bowl.,devastated,"['Distress', 'Helplessness', 'Panic']"
227,I am excited for football season.,excited,['Urgency']
228,I was apprehensive to get married.,apprehensive,"['Anxiety', 'Fear']"
229,"I let my cat out for the evening , the first time I left her outside at night and she didn't come back. ",devastated,"['Distress', 'Helplessness', 'Panic']"
230,I've been in my crappy apartment so long. I think just used to it now.,content,['Calm']
231,"I went on my first date ever only about a month ago. Even though I knew this girl really well beforehand, I was still really worried that it would be awkward and that I might mess it up.",anxious,"['Anxiety', 'Panic']"
232,I am scared of how I will die.,afraid,"['Fear', 'Anxiety']"
233,I am ready for hockey season.,excited,['Urgency']
234,My kids are the best. They get excited about everything. I think I had some good ones.,grateful,['Calm']
235,My transmission went out in my car. My dad loaned me $500 to get it fixed. ,grateful,['Calm']
236,Had HELLP syndrom with first child.  Spent all 9 months being pregnant with 2nd child worrying about the same thing happening.,apprehensive,"['Anxiety', 'Fear']"
237,I hate seeing new cars on the road. My car won't even move.,jealous,"['Coercion', 'Distress']"
238,I am always alone in the summer.,lonely,"['Distress', 'Helplessness']"
239,I was driving past the elementary school that I went to years ago and I decided to go through the parking lot for a few minutes. I saw all the old buildings and even the old playground and it really surprised me as to how little it has changed.,nostalgic,"['Calm', 'Distress']"
240,My sister in law basically lives off of my mother in law and her kids get everything. My mother in law rarely gives our kids anything because we have the money to do it ourselves - and I get a bit miffed at times.,jealous,"['Coercion', 'Distress']"
241,I really like our new football coach.,impressed,['Calm']
242,I am happy to be an American.,proud,['Calm']
243,"We tried for a baby for a long time, almost 4 years.  Waiting those 9 months to meet her were so hard!",anticipating,"['Urgency', 'Anxiety']"
244,I feel bad I stole the cookie.,guilty,"['Distress', 'Helplessness']"
245,I passed all of my classes last semester. I had been struggling in college for a while.,joyful,['Calm']
246,I have a job interview coming up next week. I'm a little nervous about it.,anxious,"['Anxiety', 'Panic']"
247,MY ex didn't show up to court again. He is always wasting my time.,angry,"['Aggression', 'Coercion']"
248,I am ok with being fat.,content,['Calm']
249,I am excited for the baseball playoffs.,excited,['Urgency']
250,I was on jury duty for three months recently and it was very interesting and kind of fun. I was surprised.,impressed,['Calm']
251,I am shocked it hasn't rained today.,surprised,"['Urgency', 'Anxiety']"
252,We've had some big rain storms where I live this spring and summer. The creek behind my house got almost in the yard twice already. Very scary.,terrified,"['Fear', 'Panic']"
253,I was very furious the other day when someone scratched the backend of my car.,furious,"['Aggression', 'Coercion', 'Panic']"
254,"I really got close with a girl that I met from Tinder, to the point where we were ""dating"". Then randomly, after like 4 days, she says that she doesn't want to date anymore and then just stops talking to me.",sad,"['Distress', 'Helplessness']"
255,We recently went on vacation with some friends to Disney world.  They had never been before and we are annual passholders so we have been several times over the last year.,confident,['Calm']
256,"I recall this time when I was making a pizza and I got an important call from my boss. I had to talk with him for about 15 minutes and when I came back, I realized the pizza had been burnt in the oven. I was very annoyed because I worked hard to make it!",annoyed,['Aggression']
257,I was very afraid in airplane because of turbulence.,terrified,"['Fear', 'Panic']"
258,"I recall a time when I had to go to my cousin's birthday part, and I overslept! I felt really guilty about that.",guilty,"['Distress', 'Helplessness']"
259,"When I was driving home from my first job it was snowing. I accidentally hit a curb and spun into the other lane and almost into a ditch, I was very scared",afraid,"['Fear', 'Anxiety']"
260,"My Aunt had an emergency and dropped her son with me, I took care of him.",caring,['Calm']
261,My brother recently applied to an Ivy League school. We just found out he was accepted.,impressed,['Calm']
262,"I am trying to sell my house for 89k dollars, I have been in a bad financial situation, my nephew knows it, and now he is trying to buy my house just for 75k, trying to take advance of my situation ",sad,"['Distress', 'Helplessness']"
263,"When my brother graduated high school, I was very proud of him, it was a big accomplishment",proud,['Calm']
264,When I got the results back to all my finals for last semester of college. I thought I might fail but I passed all my classes.,joyful,['Calm']
265,"It's been so dry in my area lately , I'm afraid there might be some forest fires. I live near a mountain. ",afraid,"['Fear', 'Anxiety']"
266,"My friend is such a narcissist sometimes. He seems to think that he is the best looking, strongest guy ever and he constantly tries to brag about it to me and compare himself to me.",annoyed,['Aggression']
267,"I have always been faithful to my girlfriend of almost 3 years, which I am proud of",faithful,['Calm']
268,i know i can lose weight,confident,['Calm']
269,When I was a child I was chased by a pitbull and I was very afraid. Dogs had always scared me at that age,afraid,"['Fear', 'Anxiety']"
270,"I remember waiting for the Nintendo Switch to come out, I was so excited, I still love using it every day!",anticipating,"['Urgency', 'Anxiety']"
271,i was devastated when my favorite world cup team was knocked out of the tournament. ,devastated,"['Distress', 'Helplessness', 'Panic']"
272,I slipped while carrying a tray of coffee. I got it all over myself.,embarrassed,"['Distress', 'Helplessness']"
273,I was surprised when my parents picked me up from work in a new car for me. I did not expect that at all!,surprised,"['Urgency', 'Anxiety']"
274,I situation in which I felt alone was when my partner left me.,lonely,"['Distress', 'Helplessness']"
275,"When I was in preschool, my pants fell down in class. I was laughed at a lot",embarrassed,"['Distress', 'Helplessness']"
276,"When I was younger my dad scared me and my brothers when we were trying to sleep, I almost wet the bed. I was very terrified",terrified,"['Fear', 'Panic']"
277,When my grandmother passed away I was so sad. I was only 13 years old,devastated,"['Distress', 'Helplessness', 'Panic']"
278,There's been a big white wolf or coyote coming in my yard lately. I am afraid it will kill the neighbors cats. ,disgusted,"['Aggression', 'Distress']"
279,A friend of mine recently got married. I hadn't even know he was engaged!,surprised,"['Urgency', 'Anxiety']"
280,My dad had a problem with drinking and it created problems. When he finally quit I was very proud.,proud,['Calm']
281,"My friend's parents are missionaries and therefore go to Africa all the time, so it was no big deal when I heard he was going to Samoa for a while. What I didn't know is that he was actually moving there for a few years, which I really didn't expect.",surprised,"['Urgency', 'Anxiety']"
282,I broke a vase at my mom's house and hid it. I still haven't told her about it.,guilty,"['Distress', 'Helplessness']"
283,My dad accidentally got into rat poison and died.,devastated,"['Distress', 'Helplessness', 'Panic']"
284,My friend got a huge scholarship when he barely passed the PSAT. I was quite jealous that I was unable to do the same thing.,jealous,"['Coercion', 'Distress']"
285,Once I realized that I needed at least a 31 on my ACT in order to get a nice little scholarship for college. I studied my heart out to improve my 29 and I felt super confident that I'd get the 31. Instead I actually got a 33!,prepared,"['Calm', 'Urgency']"
286,"My friend took some of my money without asking. When they confessed I wasnt mad, just disappointed.",disappointed,"['Distress', 'Helplessness']"
287,Today going to the dentist I was going to have my first root canal done ever along with three other teeth worked on. I knew I would be numbed but that came with the price of a needle being used. I was very nervous and worried.,terrified,"['Fear', 'Panic']"
288,As a child i was sitting in my parents car and a storm started. I was just playing my gameboy and the car started to shake. A log went right through the car window after a couple of minutes of the storm starting.,terrified,"['Fear', 'Panic']"
289,"Back in freshman year of college, I really wanted to room with my brother even though he was not a freshman but a sophomore. I was really rooting for that to happen but instead I got roomed with some random guy.",hopeful,"['Calm', 'Urgency']"
290,We moved to a new house last year and love it - and have spend much less working on projects and more time with the kids.,joyful,['Calm']
291,When i was young i was pretty hyper. But when we had a connect four tournament at my school i back seated someones match. I didn't point anything out really but they gave them a lose and it got me really mad i threw a chair in class.,angry,"['Aggression', 'Coercion']"
